,name,price,date
0,Bronzini Whole HEAD ON Butterfly,17.95,14/12/2022
1,"Salmon, Ora King Fillet",27.95,14/12/2022
2,Dover Sole Whole,17.85,14/12/2022
3,Salmon Wester Ross filet,15.92,14/12/2022
4,Salmon Norwegian Fillet,14.79,14/12/2022
5,"Salmon, Whole Scale Gut (Canada)",8.25,14/12/2022
6,"Salmon, Sixty South Fillet",12.57,14/12/2022
7,"Dover Sole, Fresh Fillet Wild",52.76,14/12/2022
8,"Meagre Fillet, Skin Off",21.25,14/12/2022
9,Kanpachi Fillet Skin On,30.14,14/12/2022
10,"Arctic Charr, Scale Gut",10.45,14/12/2022
11,"Bronzini, 400-600 S&G",8.99,14/12/2022
12,"Bronzini Fillet, 400-600gr  Farmed",19.95,14/12/2022
13,"Snapper 1-2, Whole S&G",11.65,14/12/2022
14,Trout Rainbow Head On,9.01,14/12/2022
15,Trout Rainbow 6-8 oz,11.44,14/12/2022
16,Mahi Mahi Fillet Skin Off,18.99,14/12/2022
17,Salmon Chile Fillet,12.95,14/12/2022
18,Salmon Fillet Skin Off,15.5,14/12/2022
19,Salmon Fillet Skin On,13.95,14/12/2022
20,Striped Bass Wild Fillet Lg Skin On,27.95,14/12/2022
21,"Bronzini, Fillet 600-800",19.95,14/12/2022
22,"Cod Loins, Icelandic MSC 20+",19.95,14/12/2022
23,Arctic Char Whole,9.95,14/12/2022
24,Arctic Char Fillet,19.95,14/12/2022
25,Halibut Fillet Skin Off,32.95,14/12/2022
26,"Flounder Fillet, Skin Off Hand Cut",24.95,14/12/2022
27,Snapper Fillet  American Red,29.98,14/12/2022
28,Salmon Irish Fillet,16.99,14/12/2022
29,Bronzini Whole  600-800 S&G,9.76,14/12/2022
30,Lane Snapper Fillet Skin On,20.98,14/12/2022
31,Tilapia Fillet 5/7 oz,8.1,14/12/2022
32,Tuna #1 Premium Loin Yellowfin,24.34,14/12/2022
33,Grouper Fillet Domestic,29.88,14/12/2022
34,Salmon Fillet Faroe Islands Skin On,15.73,14/12/2022
35,Salmon Verlasso Fillet ASC,13.41,14/12/2022
36,Swordfish Loin,24.95,14/12/2022
37,Chilean Sea Bass Fillet Skin Off PF,37.95,14/12/2022
38,Salmon Loch Duart Fillet,16.95,14/12/2022
39,Tuna 2+ Premium Loin Yellowfin/Bigeye,16.15,14/12/2022
40,Bronzini Whole HEAD ON Butterfly,17.95,15/12/2022
41,"Salmon, Ora King Fillet",27.95,15/12/2022
42,Dover Sole Whole,17.85,15/12/2022
43,Salmon Wester Ross filet,15.92,15/12/2022
44,Salmon Norwegian Fillet,14.79,15/12/2022
45,"Salmon, Whole Scale Gut (Canada)",8.25,15/12/2022
46,"Salmon, Sixty South Fillet",12.57,15/12/2022
47,"Dover Sole, Fresh Fillet Wild",52.76,15/12/2022
48,"Meagre Fillet, Skin Off",21.25,15/12/2022
49,Kanpachi Fillet Skin On,30.14,15/12/2022
50,"Arctic Charr, Scale Gut",10.45,15/12/2022
51,"Bronzini, 400-600 S&G",8.99,15/12/2022
52,"Bronzini Fillet, 400-600gr  Farmed",19.95,15/12/2022
53,"Snapper 1-2, Whole S&G",11.65,15/12/2022
54,Trout Rainbow Head On,9.01,15/12/2022
55,Trout Rainbow 6-8 oz,11.44,15/12/2022
56,Mahi Mahi Fillet Skin Off,18.99,15/12/2022
57,Salmon Chile Fillet,12.95,15/12/2022
58,Salmon Fillet Skin Off,15.5,15/12/2022
59,Salmon Fillet Skin On,13.95,15/12/2022
60,Striped Bass Wild Fillet Lg Skin On,27.95,15/12/2022
61,"Bronzini, Fillet 600-800",19.95,15/12/2022
62,"Cod Loins, Icelandic MSC 20+",19.95,15/12/2022
63,Arctic Char Whole,9.95,15/12/2022
64,Arctic Char Fillet,19.95,15/12/2022
65,Halibut Fillet Skin Off,32.95,15/12/2022
66,"Flounder Fillet, Skin Off Hand Cut",24.95,15/12/2022
67,Snapper Fillet  American Red,29.98,15/12/2022
68,Salmon Irish Fillet,16.99,15/12/2022
69,Bronzini Whole  600-800 S&G,9.76,15/12/2022
70,Lane Snapper Fillet Skin On,20.98,15/12/2022
71,Tilapia Fillet 5/7 oz,8.1,15/12/2022
72,Tuna #1 Premium Loin Yellowfin,24.34,15/12/2022
73,Grouper Fillet Domestic,29.88,15/12/2022
74,Salmon Fillet Faroe Islands Skin On,15.73,15/12/2022
75,Salmon Verlasso Fillet ASC,13.41,15/12/2022
76,Swordfish Loin,24.95,15/12/2022
77,Chilean Sea Bass Fillet Skin Off PF,37.95,15/12/2022
78,Salmon Loch Duart Fillet,16.95,15/12/2022
79,Tuna 2+ Premium Loin Yellowfin/Bigeye,16.15,15/12/2022
80,Bronzini Whole HEAD ON Butterfly,17.95,16/12/2022
81,"Salmon, Ora King Fillet",27.95,16/12/2022
82,Dover Sole Whole,17.85,16/12/2022
83,Salmon Norwegian Fillet,14.79,16/12/2022
84,"Salmon, Whole Scale Gut (Canada)",8.25,16/12/2022
85,"Salmon, Sixty South Fillet",12.57,16/12/2022
86,"Dover Sole, Fresh Fillet Wild",52.76,16/12/2022
87,"Meagre Fillet, Skin Off",21.25,16/12/2022
